City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
185,Guangyuan,CN,82.9,clear sky,32.442,105.823,Guangyuan Poetry Hotel
189,Buchanan,LR,73.89,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
190,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
192,Tiruvannamalai,IN,79.16,overcast clouds,12.2167,79.0667,Arpanaa Hotels
199,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
200,Port-Gentil,GA,73.47,overcast clouds,-0.7193,8.7815,Fengshui Residence
201,Touros,BR,75.87,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
202,Vila Franca Do Campo,PT,70.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
204,Powell River,CA,89.24,haze,49.8496,-124.5361,Rodmay Hotel
207,Locri,IT,77.32,clear sky,38.2414,16.2623,Grand Hotel President
211,Bubaque,GW,79.34,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
212,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
213,Lorengau,PG,83.68,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
214,Beyneu,KZ,73.27,clear sky,45.3167,55.2,NUR
215,Bengkulu,ID,78.57,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
216,Ormara,PK,81.23,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
218,Lhokseumawe,ID,78.12,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
219,Kingston,JM,83.35,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
221,Semey,KZ,70.02,clear sky,50.4111,80.2275,Grand Hotel Semey
222,Mottola,IT,79.38,clear sky,40.6353,17.0353,Villaggio Vecchia Mottola
224,Yabrud,SY,71.15,clear sky,33.9674,36.6574,صالة افراح الاندلس
226,Kijang,KR,87.53,clear sky,35.2442,129.2139,Samyang Beach Villa
227,Soto La Marina,MX,86.77,clear sky,23.7667,-98.2167,Hotel Chicago
231,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
232,Guaimaro,CU,74.84,overcast clouds,21.05,-77.35,La Constitución de Guáimaro
233,Aksu,CN,83.64,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
235,Sovetskaya Gavan,RU,70.56,overcast clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
241,Halifax,CA,71.49,broken clouds,44.6453,-63.5724,Hotel Halifax
242,Tahe,CN,76.53,overcast clouds,52.3333,124.7333,塔河宾馆
243,Trairi,BR,78.3,overcast clouds,-3.2778,-39.2689,janelas do mar
247,Shelburne,CA,71.76,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
249,Khipro,PK,81.86,overcast clouds,25.8285,69.3772,Wali M Dars Hottle
250,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
